VN0013|VN001|058203001184|NGUYENTHANHVIET|3|04/08/2025 14:10
VN0041|VN004|058203001194|NGUYENVANA|1|05/08/2025 10:41
VN0043|VN004|058203001184|NGUYENTHANHVIET|3|06/08/2025 12:20
VN0015|VN001|058203001184|NGUYENTHANHVIET|5|05/08/2025 10:41
VN00110|VN001|058203001184|NGUYENTHANHVIET|10|08/08/2025 10:50
VN0032|VN003|058203001184|NGUYENTHANHVIET|2|08/08/2025 11:00
VN0016|VN001|058203001184|NGUYENTHANHVIET|6|08/08/2025 11:00
VN0012|VN001|068203001184|NGUYENVANHOANG|2|08/08/2025 11:11
VN0018|VN001|058203001184|NGUYENTHANHVIET|8|08/08/2025 11:27
VN0052|VN005|058203001186|NGUYENTHANHSON|2|08/08/2025 11:28
VN0045|VN004|058304001186|NGUYENHOANGHUY|5|08/08/2025 11:29
VN00135|VN001|058203001184|NGUYENTHANHVIET|35|08/08/2025 12:04
VN0049|VN004|056304001175|NGUYENTHUQUYNH|9|08/08/2025 12:06
VN0034|VN003|078203001184|NGUYENTHUHOA|4|08/08/2025 12:14
VN0044|VN004|078302001198|NGUYENTHIHUYNH|4|08/08/2025 12:14
